Symbol    ,lot size
BANKNIFTY ,25
NIFTY     ,50
COFORGE   ,100
DRREDDY   ,125
APOLLOHOSP,125
ASIANPAINT,150
ABB       ,250
AARTIIND  ,850
CUB       ,3400
FSL       ,2600
ATUL      ,75
BERGEPAINT,1100
CHAMBLFERT,1500
ASTRAL    ,275
BAJFINANCE,125
BANKBARODA,11700
BHEL      ,10500
BRITANNIA ,200
CANBK     ,5400
CONCOR    ,800
ABCAPITAL ,4400
GODREJCP  ,500
HCLTECH   ,700
ABFRL     ,2600
AMARAJABAT,1000
APOLLOTYRE,2500
ADANIENT  ,500
BAJAJ-AUTO,250
BALKRISIND,200
BALRAMCHIN,1600
ACC       ,250
APLLTD    ,700
BOSCHLTD  ,50
GUJGASLTD ,1250
AUROPHARMA,750
CADILAHC  ,1100
EICHERMOT ,350
COLPAL    ,350
ESCORTS   ,550
DEEPAKNTR ,250
GMRINFRA  ,22500
HDFCAMC   ,200
DIXON     ,125
DLF       ,1650
IDEA      ,70000
CUMMINSIND,600
INDIAMART ,75
LTI       ,150
EXIDEIND  ,3600
NTPC      ,5700
BEL       ,3800
HDFCBANK  ,550
HINDALCO  ,1075
HINDCOPPER,4300
BHARATFORG,750
DIVISLAB  ,100
HONAUT    ,15
ABBOTINDIA,25
IDFC      ,10000
ADANIPORTS,1250
IEX       ,3750
ICICIGI   ,425
INDIACEM  ,2900
ALKEM     ,200
AMBUJACEM ,1500
IPCALAB   ,450
ITC       ,3200
LT        ,575
MARUTI    ,100
MCDOWELL-N,1250
MINDTREE  ,200
ASHOKLEY  ,4500
MPHASIS   ,175
AUBANK    ,500
NESTLEIND ,25
AXISBANK  ,1200
BAJAJFINSV,50
PAGEIND   ,30
PERSISTENT,150
PFC       ,6200
BANDHANBNK,1800
POLYCAB   ,300
RAIN      ,2500
RAMCOCEM  ,850
RBLBANK   ,2900
SBICARD   ,500
BATAINDIA ,550
SHREECEM  ,25
SRF       ,375
SUNPHARMA ,700
TATACOMM  ,400
BHARTIARTL,950
TITAN     ,375
BPCL      ,1800
TORNTPHARM,250
BSOFT     ,1300
CANFINHOME,975
CHOLAFIN  ,1250
CIPLA     ,650
COALINDIA ,4200
COROMANDEL,625
CROMPTON  ,1100
DABUR     ,1250
DALBHARAT ,250
DELTACORP ,2300
OFSS      ,125
FEDERALBNK,10000
GAIL      ,6100
GODREJPROP,325
GRANULES  ,1550
GRASIM    ,475
GSPL      ,1700
HAL       ,475
HAVELLS   ,500
HDFC      ,300
HDFCLIFE  ,1100
HEROMOTOCO,300
HINDPETRO ,2700
IBULHSGFIN,3100
ICICIBANK ,1375
ICICIPRULI,750
IDFCFIRSTB,11100
IGL       ,1375
INDHOTEL  ,4022
TCS       ,150
INDUSINDBK,900
INDIGO    ,250
JKCEMENT  ,175
LALPATHLAB,125
INDUSTOWER,2800
INFY      ,300
LTTS      ,200
IOC       ,6500
IRCTC     ,875
MGL       ,600
NBCC      ,12000
JINDALSTEL,2500
JSWSTEEL  ,1350
JUBLFOOD  ,125
KOTAKBANK ,400
L&TFH     ,8924
SBILIFE   ,750
LAURUSLABS,900
LICHSGFIN ,2000
LUPIN     ,850
M&M       ,700
M&MFIN    ,4000
MANAPPURAM,3000
MARICO    ,1000
VEDL      ,3100
NATIONALUM,8500
ONGC      ,7700
MCX       ,350
METROPOLIS,200
MFSL      ,650
MOTHERSUMI,3500
PIDILITIND,250
MRF       ,10
MUTHOOTFIN,375
NAM-INDIA ,1600
NAUKRI    ,125
NAVINFLUOR,225
NMDC      ,6700
OBEROIRLTY,700
PEL       ,275
PETRONET  ,3000
PFIZER    ,125
PIIND     ,250
PNB       ,16000
POWERGRID ,5333
PVR       ,407
RECLTD    ,6000
RELIANCE  ,250
SAIL      ,4750
SBIN      ,1500
SIEMENS   ,275
SRTRANSFIN,400
SUNTV     ,1500
TATACHEM  ,1000
TATACONSUM,675
TATAMOTORS,2850
TATAPOWER ,6750
TATASTEEL ,425
TECHM     ,600
TORNTPOWER,1500
TRENT     ,725
GNFC      ,1300
TVSMOTOR  ,1400
UBL       ,350
ULTRACEMCO,100
UPL       ,1300
VOLTAS    ,500
WHIRLPOOL ,250
HINDUNILVR,300
WIPRO     ,800
ZEEL      ,3000
GLENMARK  ,1150
BIOCON    ,2300
STAR      ,900
SYNGENE   ,850
INTELLECT ,750
